word,level,word_url,word_class
array,c1,https://www.oxfordlearnersdictionaries.com/definition/english/array_1,noun
arrest,b1,https://www.oxfordlearnersdictionaries.com/definition/english/arrest_2,noun
arrest,b1,https://www.oxfordlearnersdictionaries.com/definition/english/arrest_1,verb
arrival,b1,https://www.oxfordlearnersdictionaries.com/definition/english/arrival,noun
arrive,a1,https://www.oxfordlearnersdictionaries.com/definition/english/arrive,verb
arrow,b2,https://www.oxfordlearnersdictionaries.com/definition/english/arrow,noun
art,a1,https://www.oxfordlearnersdictionaries.com/definition/english/art_1,noun
article,a1,https://www.oxfordlearnersdictionaries.com/definition/english/article,noun
articulate,c1,https://www.oxfordlearnersdictionaries.com/definition/english/articulate_1,verb
artificial,b2,https://www.oxfordlearnersdictionaries.com/definition/english/artificial,adjective
artist,a1,https://www.oxfordlearnersdictionaries.com/definition/english/artist,noun
artistic,b2,https://www.oxfordlearnersdictionaries.com/definition/english/artistic,adjective
artwork,b2,https://www.oxfordlearnersdictionaries.com/definition/english/artwork,noun
as,a2,https://www.oxfordlearnersdictionaries.com/definition/english/as_2,adverb
as,a2,https://www.oxfordlearnersdictionaries.com/definition/english/as_3,conjunction
as,a1,https://www.oxfordlearnersdictionaries.com/definition/english/as_1,preposition
ash,c1,https://www.oxfordlearnersdictionaries.com/definition/english/ash_1,noun
ashamed,b2,https://www.oxfordlearnersdictionaries.com/definition/english/ashamed,adjective
aside,b2,https://www.oxfordlearnersdictionaries.com/definition/english/aside_1,adverb
ask,a1,https://www.oxfordlearnersdictionaries.com/definition/english/ask_1,verb
asleep,a2,https://www.oxfordlearnersdictionaries.com/definition/english/asleep,adjective
aspect,b2,https://www.oxfordlearnersdictionaries.com/definition/english/aspect,noun
aspiration,c1,https://www.oxfordlearnersdictionaries.com/definition/english/aspiration,noun
aspire,c1,https://www.oxfordlearnersdictionaries.com/definition/english/aspire,verb
assassination,c1,https://www.oxfordlearnersdictionaries.com/definition/english/assassination,noun
assault,c1,https://www.oxfordlearnersdictionaries.com/definition/english/assault_1,noun
assault,c1,https://www.oxfordlearnersdictionaries.com/definition/english/assault_2,verb
assemble,c1,https://www.oxfordlearnersdictionaries.com/definition/english/assemble,verb
assembly,c1,https://www.oxfordlearnersdictionaries.com/definition/english/assembly,noun
assert,c1,https://www.oxfordlearnersdictionaries.com/definition/english/assert,verb
